"id","genres"
579,"Crime"
579,"Drama"
580,"Drama"
581,"Action"
581,"Crime"
581,"Drama"
582,"Comedy"
582,"Drama"
583,"Crime"
583,"Drama"
583,"Thriller"
584,NA
585,"Drama"
586,"Action"
586,"Crime"
586,"Mystery"
587,NA
588,"Adventure"
588,"Animation"
588,"Drama"
589,"Animation"
589,"Drama"
589,"Family"
590,NA
591,"Adult"
592,"Action"
592,"Comedy"
592,"Crime"
593,"Documentary"
594,"Comedy"
594,"Drama"
594,"Family"
595,"Crime"
595,"Drama"
595,"Thriller"
596,"Action"
596,"Crime"
596,"Thriller"
597,"Horror"
597,"Mystery"
597,"Sci-Fi"
598,NA
599,"Western"
600,"Documentary"
601,"Adventure"
601,"Comedy"
601,"Fantasy"
602,"Comedy"
602,"Drama"
603,"Comedy"
603,"Drama"
604,"Comedy"
604,"Drama"
604,"Romance"
605,"Adult"
606,"Action"
606,"Comedy"
607,"Adventure"
607,"Animation"
607,"Comedy"
608,"Adventure"
608,"Drama"
608,"War"
609,"Comedy"
609,"Drama"
609,"Thriller"
610,"Crime"
610,"Documentary"
611,"Comedy"
611,"Sport"
612,"Action"
612,"Crime"
612,"Drama"
613,"Drama"
613,"Mystery"
613,"Thriller"
614,"Drama"
614,"Mystery"
614,"Thriller"
615,"Biography"
615,"Drama"
616,"Action"
616,"Crime"
616,"Family"
617,"Action"
617,"Sci-Fi"
618,"Action"
618,"Crime"
618,"Drama"
619,"Action"
619,"Adventure"
620,"Action"
620,"Crime"
620,"Fantasy"
621,"Action"
621,"Adventure"
621,"Animation"
622,"Action"
623,"Action"
623,"Adventure"
623,"Animation"
624,"Action"
624,"Sci-Fi"
625,"Action"
625,"Drama"
625,"History"
626,"Action"
626,"Drama"
626,"History"
627,"Drama"
627,"History"
627,"War"
628,"Drama"
628,"Music"
629,"Action"
629,"Adventure"
629,"Sci-Fi"
630,"Action"
630,"Adventure"
630,"Sci-Fi"
631,"Action"
631,"Adventure"
631,"Sci-Fi"
632,"Drama"
632,"History"
632,"Thriller"
633,"Action"
633,"Adventure"
633,"Sci-Fi"
634,"Action"
634,"Comedy"
634,"Crime"
635,"Comedy"
635,"Crime"
635,"Music"
636,"Comedy"
637,"Comedy"
637,"Drama"
637,"Music"
638,"Adventure"
638,"Comedy"
638,"Family"
639,"Action"
639,"Comedy"
639,"Crime"
640,"Drama"
640,"War"
641,"Biography"
641,"Drama"
642,"Comedy"
642,"Crime"
642,"Drama"
643,"Comedy"
643,"Drama"
643,"Romance"
644,"Comedy"
644,"Drama"
644,"Romance"
645,"Fantasy"
645,"Horror"
645,"Mystery"
646,"Comedy"
647,"Adventure"
647,"Animation"
647,"Comedy"
648,"Comedy"
648,"Romance"
649,"Comedy"
649,"Drama"
649,"Family"
650,"Biography"
650,"Drama"
650,"History"
651,"Biography"
651,"Drama"
651,"Romance"
652,"Comedy"
652,"Fantasy"
652,"Romance"
653,"Crime"
653,"Drama"
653,"Film-Noir"
654,"Adventure"
654,"Animation"
654,"Comedy"
655,"Adventure"
655,"Comedy"
655,"Family"
656,"Adventure"
656,"Animation"
656,"Comedy"
657,"Comedy"
658,"Comedy"
658,"Drama"
658,"Family"
659,"Comedy"
659,"Family"
659,"Romance"
660,"Comedy"
660,"Fantasy"
661,"Crime"
661,"Drama"
661,"Mystery"
662,"Drama"
662,"Fantasy"
662,"Mystery"
663,"Drama"
663,"Mystery"
663,"Thriller"
664,"Drama"
665,"Biography"
665,"Drama"
665,"Romance"
666,"Action"
667,"Drama"
667,"Romance"
668,"Crime"
668,"Drama"
668,"Thriller"
669,"Documentary"
670,"Comedy"
670,"Drama"
670,"Romance"
671,"Drama"
671,"Family"
672,"Fantasy"
672,"Horror"
673,"Comedy"
673,"Drama"
674,"Action"
674,"Drama"
674,"War"
675,"Biography"
675,"Drama"
675,"Music"
676,"Comedy"
676,"Horror"
676,"Thriller"
677,"Biography"
677,"Documentary"
678,"Comedy"
678,"Drama"
678,"Fantasy"
679,"Drama"
680,"Romance"
681,"Drama"
681,"Romance"
682,"Drama"
682,"Romance"
683,"Action"
683,"Horror"
683,"Mystery"
684,"Adventure"
684,"Drama"
685,"Comedy"
685,"Drama"
685,"Romance"
686,"Action"
686,"Adventure"
686,"Sci-Fi"
687,"Adventure"
687,"Family"
687,"Romance"
688,"Crime"
688,"Drama"
689,"Drama"
689,"History"
689,"Romance"
690,"Action"
690,"Adventure"
690,"Animation"
691,"Action"
691,"Adventure"
691,"Drama"
692,"Drama"
692,"Horror"
692,"Thriller"
693,"Comedy"
693,"Drama"
693,"Music"
694,"Biography"
694,"Comedy"
694,"Crime"
695,"Comedy"
695,"Drama"
696,"Comedy"
696,"Music"
696,"Romance"
697,"Action"
697,"Drama"
697,"Sport"
698,"Documentary"
699,"Drama"
699,"Romance"
700,"Adventure"
700,"Comedy"
700,"Drama"
701,"Action"
701,"Comedy"
701,"Crime"
702,"Action"
702,"Comedy"
702,"Crime"
703,"Action"
703,"Comedy"
703,"Crime"
704,"Action"
704,"Comedy"
705,"Crime"
705,"Horror"
705,"Thriller"
706,"Crime"
706,"Drama"
706,"Mystery"
707,"Comedy"
707,"Horror"
707,"Sci-Fi"
708,"Documentary"
708,"Sport"
709,"Biography"
709,"Drama"
709,"Music"
710,"Comedy"
710,"Drama"
710,"Music"
711,"Drama"
711,"Romance"
