"nconst","primaryName","knownForTitles"
"nm0000264","Pedro Almodóvar","tt0287467,tt0101026,tt1189073,tt0095675"
"nm0000265","Robert Altman","tt0280707,tt0073440,tt0108122,tt0105151"
"nm0000266","Ursula Andress","tt0055928,tt0061452,tt0060177,tt0082186"
"nm0000267","Julie Andrews","tt0059742,tt0058331,tt0084865,tt0062362"
"nm0000268","Ann-Margret","tt0066892,tt0056891,tt0060646,tt0073812"
"nm0000269","Jean-Jacques Annaud","tt0091605,tt0215750,tt2909116,tt0120102"
"nm0000271","Anne Archer","tt0093010,tt0108122,tt0105112,tt0160009"
"nm0000273","Alan Arkin","tt1024648,tt0449059,tt0104348,tt0099487"
"nm0000274","David Arquette","tt0134084,tt0151738,tt0120082,tt0271367"
"nm0000275","Rosanna Arquette","tt0110912,tt0089017,tt0088680,tt0107711"
"nm0000276","Sean Astin","tt0167261,tt0167260,tt0120737,tt0089218"
"nm0000277","Richard Attenborough","tt0107290,tt0057115,tt0083987,tt0119567"
"nm0000278","Pernilla August","tt0120915,tt0104350,tt0115164,tt0121765"
"nm0000279","Hank Azaria","tt0096697,tt1839481,tt0115685,tt0132347"
"nm0000281","Scott Baio","tt0270846,tt0367279,tt0070992,tt0281680"
"nm0000284","Adam Baldwin","tt0379786,tt0116629,tt0093058,tt0187393"
"nm0000285","Alec Baldwin","tt0407887,tt1230414,tt0318374,tt0104348"
"nm0000286","Stephen Baldwin","tt0114814,tt0115683,tt0158622,tt0486583"
"nm0000287","William Baldwin","tt0101393,tt0108162,tt0113010,tt0367089"
"nm0000288","Christian Bale","tt0468569,tt0372784,tt1345836,tt1800241"
"nm0000289","Ellen Barkin","tt0116277,tt0157503,tt0086856,tt0092654"
"nm0000290","John Barry","tt0099348,tt0089755,tt0093428,tt0081534"
"nm0000291","Angela Bassett","tt0114558,tt1825683,tt9114286,tt0118884"
"nm0000292","Michelle Bauer","tt0094998,tt0103213,tt0094734,tt0098652"
"nm0000293","Sean Bean","tt0120737,tt0944947,tt1181791,tt0167261"
"nm0000294","Amanda Bearse","tt0089175,tt0092400,tt9731598,tt0255132"
"nm0000295","Kate Beckinsale","tt0401855,tt0320691,tt0338526,tt0452702"
"nm0000297","Tom Berenger","tt0091763,tt1375666,tt0085244,tt0097815"
"nm0000298","Candice Bergen","tt0212346,tt0901476,tt0256415,tt0094514"
"nm0000299","Michael Biehn","tt0090605,tt0088247,tt0117500,tt0096754"
"nm0000300","Juliette Binoche","tt0116209,tt2452254,tt1219827,tt1020773"
"nm0000301","Thora Birch","tt0162346,tt0107120,tt0105112,tt0169547"
"nm0000302","Jacqueline Bisset","tt0062765,tt0071877,tt0088322,tt0061452"
"nm0000303","Honor Blackman","tt0058150,tt0057197,tt0054518,tt0243155"
"nm0000304","Linda Blair","tt0070047,tt0076009,tt0089964,tt0088044"
"nm0000307","Helena Bonham Carter","tt0408236,tt1707386,tt0137523,tt1504320"
"nm0000308","Ernest Borgnine","tt0048356,tt0069113,tt0082340,tt0086662"
"nm0000309","David Bowie","tt0091369,tt0074851,tt0482571,tt0196229"
"nm0000312","Amy Brenneman","tt0209069,tt0113277,tt0116287,tt0116040"
"nm0000313","Jeff Bridges","tt0118715,tt1263670,tt1403865,tt0088172"
"nm0000314","Charles Bronson","tt0071402,tt0064116,tt0057115,tt0054047"
"nm0000316","Mel Brooks","tt0094012,tt0395251,tt0082517,tt0071230"
"nm0000317","Clancy Brown","tt0111161,tt0120201,tt2279373,tt1179056"
"nm0000318","Tim Burton","tt0099487,tt1142977,tt0121164,tt0408236"
"nm0000319","Yancy Butler","tt1650554,tt0107076,tt0274298,tt1250777"
"nm0000320","Luis Buñuel","tt0068361,tt0061395,tt0056732,tt0055601"
"nm0000321","Gabriel Byrne","tt0114814,tt0146675,tt0100150,tt0145531"
"nm0000323","Michael Caine","tt0468569,tt3312830,tt0482571,tt0124315"
"nm0000324","Barbara Carrera","tt0086006,tt0076210,tt0085862,tt0084112"
"nm0000325","David Caruso","tt0083944,tt0228750,tt0261983,tt0099939"
"nm0000326","Kim Cattrall","tt0102975,tt1261945,tt0159206,tt1000774"
"nm0000327","Lacey Chabert","tt0377092,tt0120738,tt0277371,tt0454082"
"nm0000328","Richard Chamberlain","tt0072308,tt0076299,tt0085101,tt0073012"
"nm0000329","Jackie Chan","tt0127357,tt0120812,tt0089374,tt0266915"
"nm0000330","Stockard Channing","tt0120791,tt0077631,tt0108149,tt0198021"
"nm0000331","Chevy Chase","tt0104850,tt0080487,tt0085995,tt0092086"
"nm0000332","Don Cheadle","tt0375679,tt1540133,tt0395169,tt0790770"
"nm0000333","Cher","tt0093565,tt1126591,tt0100140,tt0089560"
"nm0000334","Chow Yun-Fat","tt0190332,tt0120008,tt0473444,tt1098327"
"nm0000335","Glenn Close","tt0093010,tt3750872,tt2015381,tt0094947"
"nm0000336","James Coburn","tt0057115,tt0054047,tt0056923,tt0074695"
"nm0000337","Rachael Leigh Cook","tt0160862,tt11100856,tt5659816,tt0331811"
"nm0000338","Francis Ford Coppola","tt0078788,tt0071360,tt0068646,tt0071562"
"nm0000339","Roger Corman","tt0102926,tt0112384,tt0099612,tt0091419"
"nm0000341","Michael Crichton","tt0107290,tt0117998,tt0070909,tt0108757"
"nm0000342","James Cromwell","tt0119488,tt0120689,tt0144214,tt0117731"
"nm0000343","David Cronenberg","tt0091064,tt0094964,tt0120907,tt0115964"
"nm0000344","Denise Crosby","tt0098084,tt0104119,tt0097889,tt0120647"
"nm0000345","Billy Crystal","tt0113097,tt0101587,tt0098635,tt0122933"
"nm0000347","Tim Curry","tt0073629,tt0112715,tt0117110,tt0088930"
"nm0000348","Tony Curtis","tt0053291,tt0051036,tt0054331,tt0066701"
"nm0000349","Joan Cusack","tt0119360,tt0119229,tt0096463,tt1659337"
"nm0000350","Beverly D'Angelo","tt0085995,tt0120434,tt0097958,tt0120586"
"nm0000352","Vincent D'Onofrio","tt0119654,tt0209958,tt0093058,tt0109707"
"nm0000353","Willem Dafoe","tt0145487,tt6938828,tt5649144,tt7984734"
"nm0000354","Matt Damon","tt0119217,tt3659388,tt0407887,tt0134119"
"nm0000355","Anthony Daniels","tt2488496,tt2527336,tt0076759,tt0080684"
